SEASON,TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2009-10,,201977,Marcus,Thornton,Marcus Thornton,SG,74.75,6' 2.75'',75.75,6' 3.75'',194.4,77,6' 5'',99,8' 3'',4.8,,
2009-10,,201944,Terrence,Williams,Terrence Williams,SG-SF,77,6' 5'',78.25,6' 6.25'',213.2,81,6' 9'',103.5,8' 7.5'',5.1,,
2009-10,,201970,Sam,Young,Sam Young,SF-SG,77.25,6' 5.25'',78.75,6' 6.75'',222.8,82.75,6' 10.75'',105.5,8' 9.5'',4.9,,
2010-11,,202374,Solomon,Alabi,Solomon Alabi,C,83.5,6' 11.5'',84.75,7' 0.75'',237.4,89,7' 5'',113,9' 5'',5,9.25,9.25
2010-11,,202332,Cole,Aldrich,Cole Aldrich,C,81,6' 9'',83.25,6' 11.25'',236,88.75,7' 4.75'',111.5,9' 3.5'',8.5,9,9.25
2010-11,,202329,Al-Farouq,Aminu,Al-Farouq Aminu,SF,79.25,6' 7.25'',80.5,6' 8.5'',216,87.25,7' 3.25'',108.5,9' 0.5'',8.2,9.5,9.5
2010-11,,202341,James,Anderson,James Anderson,SF,76.75,6' 4.75'',77.75,6' 5.75'',207.6,80.5,6' 8.5'',104,8' 8'',7.9,8.5,7.25
2010-11,,202337,Luke,Babbitt,Luke Babbitt,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',217.8,83.25,6' 11.25'',104.5,8' 8.5'',5.6,8.5,10
2010-11,,202339,Eric,Bledsoe,Eric Bledsoe,PG,72.25,6' 0.25'',73.5,6' 1.5'',191.6,79.5,6' 7.5'',98,8' 2'',5.6,8.5,9.75
2010-11,,202344,Trevor,Booker,Trevor Booker,PF,78.25,6' 6.25'',79.5,6' 7.5'',235.8,81.75,6' 9.75'',106,8' 10'',7.3,9,9.5
2010-11,,202342,Craig,Brackins,Craig Brackins,PF-SF,80.5,6' 8.5'',81.75,6' 9.75'',229,84,7' 0'',109,9' 1'',7.9,9.5,11.25
2010-11,,202340,Avery,Bradley,Avery Bradley,SG-PG,74,6' 2'',75.25,6' 3.25'',180.4,79.25,6' 7.25'',98.5,8' 2.5'',4,8.25,9.5
2010-11,,202382,Derrick,Caracter,Derrick Caracter,PF,80.25,6' 8.25'',81.5,6' 9.5'',280,84.25,7' 0.25'',107.5,8' 11.5'',12.8,9,10.25
2010-11,,202395,Sherron,Collins,Sherron Collins,PG,70.25,5' 10.25'',71.75,5' 11.75'',217.2,74.5,6' 2.5'',94,7' 10'',9.2,8.5,9.5
2010-11,,202326,DeMarcus,Cousins,DeMarcus Cousins,C,81.5,6' 9.5'',82.75,6' 10.75'',291.8,89.75,7' 5.75'',113,9' 5'',16.4,9.25,10
2010-11,,202348,Jordan,Crawford,Jordan Crawford,SG,75,6' 3'',76.5,6' 4.5'',198.4,79,6' 7'',101,8' 5'',4.9,8,9
2010-11,,202334,Ed,Davis,Ed Davis,PF,81,6' 9'',81.75,6' 9.75'',226.6,84,7' 0'',108,9' 0'',10,9.25,10
2010-11,,202365,Devin,Ebanks,Devin Ebanks,SF,79,6' 7'',80.25,6' 8.25'',207.8,84.25,7' 0.25'',107.5,8' 11.5'',7.9,8.25,9
2010-11,,202324,Derrick,Favors,Derrick Favors,PF,80.75,6' 8.75'',82.25,6' 10.25'',245.2,88,7' 4'',110,9' 2'',6.5,8.75,9.25
2010-11,,12316,Keith,Gallon,Keith Gallon,PF-C,80.5,6' 8.5'',81.5,6' 9.5'',301.8,88.5,7' 4.5'',109.5,9' 1.5'',15.1,9.25,10.5
2010-11,,12317,Charles,Garcia,Charles Garcia,SF,80.25,6' 8.25'',81.25,6' 9.25'',231.6,85.75,7' 1.75'',107.5,8' 11.5'',7,8.75,9
2010-11,,202331,Paul,George,Paul George,SF,79.75,6' 7.75'',80.75,6' 8.75'',214.4,83.25,6' 11.25'',107,8' 11'',5,8.5,9
2010-11,,202376,Luke,Harangody,Luke Harangody,PF,78,6' 6'',79.75,6' 7.75'',240.2,81.5,6' 9.5'',106,8' 10'',11.1,8.75,9.75
2010-11,,202412,Manny,Harris,Manny Harris,SG,76,6' 4'',77.5,6' 5.5'',185.1,79.25,6' 7.25'',102,8' 6'',3.8,8.5,9
2010-11,,202330,Gordon,Hayward,Gordon Hayward,SF,78.75,6' 6.75'',80,6' 8'',211,79.75,6' 7.75'',103,8' 7'',6.9,8.5,9.25
2010-11,,202351,Lazar,Hayward,Lazar Hayward,SG-SF,76.5,6' 4.5'',77.75,6' 5.75'',225.8,84.75,7' 0.75'',102,8' 6'',7.5,9.25,9.5
2010-11,,202333,Xavier,Henry,Xavier Henry,SG,77.25,6' 5.25'',78.5,6' 6.5'',210.2,83.25,6' 11.25'',105,8' 9'',4.7,8.75,10
2010-11,,202359,Darington,Hobson,Darington Hobson,SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',203.6,81.25,6' 9.25'',104.5,8' 8.5'',6.2,8.25,9
2010-11,,202345,Damion,James,Damion James,SF,78.25,6' 6.25'',79.75,6' 7.75'',226.6,84.75,7' 0.75'',107,8' 11'',9.6,9.25,8.5
2010-11,,202325,Wesley,Johnson,Wesley Johnson,SF,78.25,6' 6.25'',79.25,6' 7.25'',206.4,85,7' 1'',106,8' 10'',4.6,9,9.5
2010-11,,202356,Armon,Johnson,Armon Johnson,PG-SG,74,6' 2'',75.25,6' 3.25'',195.2,80,6' 8'',99.5,8' 3.5'',5.6,8.25,9.25
2010-11,,202346,Dominique,Jones,Dominique Jones,SG,75.25,6' 3.25'',77,6' 5'',216,81.25,6' 9.25'',101,8' 5'',5.9,9,10.25
2010-11,,12329,Jerome,Jordan,Jerome Jordan,C,83.5,6' 11.5'',84.75,7' 0.75'',244.2,89.25,7' 5.25'',113,9' 5'',6.9,9,10.25
2010-11,,12330,Sylven,Landesberg,Sylven Landesberg,SG,76.75,6' 4.75'',78.25,6' 6.25'',210,81,6' 9'',100.5,8' 4.5'',11.6,8.75,10.75
2010-11,,202371,Gani,Lawal,Gani Lawal,PF,79.5,6' 7.5'',81,6' 9'',233.4,84,7' 0'',107.5,8' 11.5'',6.3,8.5,10
2010-11,,202328,Greg,Monroe,Greg Monroe,PF-C,81.75,6' 9.75'',83,6' 11'',246.6,86.25,7' 2.25'',108.5,9' 0.5'',11.2,8.75,9.5
2010-11,,202350,Daniel,Orton,Daniel Orton,C,80.75,6' 8.75'',81.5,6' 9.5'',269.2,88.25,7' 4.25'',110.5,9' 2.5'',13.8,8.5,9.75
2010-11,,12334,Artsiom,Parakhouski,Artsiom Parakhouski,C,82.25,6' 10.25'',83.75,6' 11.75'',268.2,85,7' 1'',109.5,9' 1.5'',6,9,10.5
2010-11,,202335,Patrick,Patterson,Patrick Patterson,PF,80,6' 8'',81.25,6' 9.25'',239.6,85.25,7' 1.25'',107,8' 11'',5.3,9.25,10.25
2010-11,,202354,Dexter,Pittman,Dexter Pittman,PF-C,81.5,6' 9.5'',83.5,6' 11.5'',302.6,90,7' 6'',111,9' 3'',20.8,10.25,10.5
2010-11,,202360,Andy,Rautins,Andy Rautins,SG,76.25,6' 4.25'',77,6' 5'',191.6,79,6' 7'',100,8' 4'',6.2,8,9.75
2010-11,,12338,Ryan,Richards,Ryan Richards,PF,82.5,6' 10.5'',83.75,6' 11.75'',230.2,85.5,7' 1.5'',110,9' 2'',8,9,9.75
2010-11,,202383,Stanley,Robinson,Stanley Robinson,SF,78.5,6' 6.5'',79.75,6' 7.75'',213.2,84,7' 0'',107.5,8' 11.5'',8.3,9,9
2010-11,,202336,Larry,Sanders,Larry Sanders,PF-C,81.25,6' 9.25'',82.5,6' 10.5'',222.4,89.75,7' 5.75'',112,9' 4'',4.6,9.75,11
2010-11,,12341,Jon,Scheyer,Jon Scheyer,PG-SG,76.75,6' 4.75'',78,6' 6'',180,75.25,6' 3.25'',99,8' 3'',5.4,7.75,9.5
2010-11,,202362,Lance,Stephenson,Lance Stephenson,SG,76.5,6' 4.5'',77.75,6' 5.75'',227,82.5,6' 10.5'',103,8' 7'',9.3,9,10.25
2010-11,,12343,Mikhail,Torrance,Mikhail Torrance,PG,76,6' 4'',77,6' 5'',208.8,79.5,6' 7.5'',103,8' 7'',7,8.75,9.5
2010-11,,202323,Evan,Turner,Evan Turner,SG,77.75,6' 5.75'',79,6' 7'',213.8,80,6' 8'',103.5,8' 7.5'',8.6,8.75,9.5
2010-11,,202327,Ekpe,Udoh,Ekpe Udoh,PF,80.75,6' 8.75'',81.75,6' 9.75'',237.4,88.5,7' 4.5'',106.5,8' 10.5'',8,9.5,8.75
2010-11,,12346,Jarvis,Varnado,Jarvis Varnado,PF-C,80.25,6' 8.25'',82,6' 10'',210.2,87.5,7' 3.5'',109.5,9' 1.5'',9.5,9.25,9.5
2010-11,,202349,Greivis,Vasquez,Greivis Vasquez,PG-SG,77,6' 5'',78.5,6' 6.5'',210.8,79,6' 7'',101,8' 5'',8.6,7.75,9.25
2010-11,,202322,John,Wall,John Wall,PG,74.75,6' 2.75'',76,6' 4'',195.6,81.25,6' 9.25'',101.5,8' 5.5'',5.6,8.25,9.5
2010-11,,202378,Willie,Warren,Willie Warren,SG-PG,74.5,6' 2.5'',75.75,6' 3.75'',208.4,78,6' 6'',99.5,8' 3.5'',7.6,8.5,9.5
2010-11,,202358,Terrico,White,Terrico White,SG-PG,75.75,6' 3.75'',77,6' 5'',202.6,81,6' 9'',101,8' 5'',3.7,9,10.5
2010-11,,202355,Hassan,Whiteside,Hassan Whiteside,C-PF,82.5,6' 10.5'',83.5,6' 11.5'',226.6,91,7' 7'',113,9' 5'',5.5,8.25,10.25
2011-12,,202728,Keith,Benson,Keith Benson,C-PF,82,6' 10'',83,6' 11'',217,87.75,7' 3.75'',109.5,9' 1.5'',6.1,9.5,11
2011-12,,202705,Marshon,Brooks,Marshon Brooks,SG,76.25,6' 4.25'',77.25,6' 5.25'',194.6,85,7' 1'',101,8' 5'',5.2,9,10.5
2011-12,,202692,Alec,Burks,Alec Burks,SG,77,6' 5'',78,6' 6'',192.6,82,6' 10'',103.5,8' 7.5'',5.1,9,8.25
2011-12,,202710,Jimmy,Butler,Jimmy Butler,SF,78,6' 6'',79.75,6' 7.75'',222.2,79.5,6' 7.5'',101.5,8' 5.5'',5.4,9,9
2011-12,,202708,Norris,Cole,Norris Cole,PG,72.25,6' 0.25'',73.75,6' 1.75'',174.4,74.25,6' 2.25'',95.5,7' 11.5'',4.7,8.5,9.5
2011-12,,202739,Jon,Diebler,Jon Diebler,SG,77.25,6' 5.25'',78.5,6' 6.5'',196.6,78,6' 6'',99,8' 3'',8.5,8.25,8.25
2011-12,,12406,Michael,Dunigan,Michael Dunigan,PF-C,80.5,6' 8.5'',82,6' 10'',237.6,87.25,7' 3.25'',107.5,8' 11.5'',8,9,10.75
2011-12,,12407,LaceDarius,Dunn,LaceDarius Dunn,SG,75,6' 3'',76,6' 4'',187.8,78.25,6' 6.25'',101,8' 5'',5.5,9,10.25
2011-12,,202702,Kenneth,Faried,Kenneth Faried,PF,78,6' 6'',79.5,6' 7.5'',224.6,84,7' 0'',108,9' 0'',6.3,8.5,10.25
2011-12,,12409,James,Fredette,James Fredette,PG,72.75,6' 0.75'',74.5,6' 2.5'',196,76.5,6' 4.5'',96.5,8' 0.5'',7.7,8,8.5
2011-12,,202726,Andrew,Goudelock,Andrew Goudelock,PG,73.25,6' 1.25'',74.75,6' 2.75'',197.6,76.25,6' 4.25'',96.5,8' 0.5'',9.9,8.25,9.25
2011-12,,202706,Jordan,Hamilton,Jordan Hamilton,SF,78.75,6' 6.75'',80.5,6' 8.5'',228.4,81.5,6' 9.5'',104,8' 8'',9.8,9,9.25
2011-12,,202712,Justin,Harper,Justin Harper,PF-SF,80,6' 8'',80.75,6' 8.75'',228,83.75,6' 11.75'',106,8' 10'',4,9,9.25
2011-12,,202699,Tobias,Harris,Tobias Harris,SF-PF,78.5,6' 6.5'',79.75,6' 7.75'',222.8,83,6' 11'',103.5,8' 7.5'',8.4,8.75,9
2011-12,,202715,Tyler,Honeycutt,Tyler Honeycutt,SF,78.75,6' 6.75'',80.25,6' 8.25'',186.8,81,6' 9'',105,8' 9'',5.3,8.5,9.5
2011-12,,12415,Scotty,Hopson,Scotty Hopson,SG,77.75,6' 5.75'',78.5,6' 6.5'',204.6,82.5,6' 10.5'',103.5,8' 7.5'',4.8,8.5,10
2011-12,,202681,Kyrie,Irving,Kyrie Irving,PG,73.75,6' 1.75'',75.5,6' 3.5'',191,76,6' 4'',99,8' 3'',10.2,8.25,9.25
2011-12,,12417,Rick,Jackson,Rick Jackson,PF,80.25,6' 8.25'',81.25,6' 9.25'',241.8,86,7' 2'',106.5,8' 10.5'',8.3,8.75,9.5
2011-12,,202724,Charles,Jenkins,Charles Jenkins,PG-SG,73.5,6' 1.5'',75.25,6' 3.25'',216.4,79.5,6' 7.5'',96.5,8' 0.5'',4.3,8.5,9
2011-12,,202707,JaJuan,Johnson,JaJuan Johnson,PF,81,6' 9'',82,6' 10'',219.8,86,7' 2'',107.5,8' 11.5'',7.5,9,10
2011-12,,202709,Cory,Joseph,Cory Joseph,PG,74,6' 2'',75.25,6' 3.25'',186.2,77.5,6' 5.5'',99,8' 3'',9.7,8.5,10.5
2011-12,,202683,Enes,Kanter,Enes Kanter,PF-C,81.75,6' 9.75'',83.25,6' 11.25'',259.2,85.5,7' 1.5'',109.5,9' 1.5'',5.9,9.5,10.75
2011-12,,202688,Brandon,Knight,Brandon Knight,PG,73.5,6' 1.5'',75.25,6' 3.25'',176.8,78.75,6' 6.75'',98.5,8' 2.5'',4.2,8.25,9.5
2011-12,,202723,Malcolm,Lee,Malcolm Lee,SG,76,6' 4'',77.5,6' 5.5'',198.2,81.75,6' 9.75'',101.5,8' 5.5'',5.9,8.5,9.5
2011-12,,202695,Kawhi,Leonard,Kawhi Leonard,SF,78,6' 6'',79,6' 7'',227.4,87,7' 3'',106,8' 10'',5.4,9.75,11.25
2011-12,,202727,Travis,Leslie,Travis Leslie,SG,75,6' 3'',76.25,6' 4.25'',205,82.5,6' 10.5'',103,8' 7'',8.1,8.75,9.25
2011-12,,202720,Jon,Leuer,Jon Leuer,PF,82,6' 10'',83.5,6' 11.5'',223.2,84,7' 0'',105.5,8' 9.5'',5.4,8.75,9.75
2011-12,,202732,DeAndre,Liggins,DeAndre Liggins,SF-SG,77,6' 5'',78.25,6' 6.25'',202.2,83,6' 11'',103.5,8' 7.5'',5,8.75,10
2011-12,,12428,David,Lighty,David Lighty,SG,76.75,6' 4.75'',78.5,6' 6.5'',216.2,80,6' 8'',101,8' 5'',6.5,9,10
2011-12,,202714,Shelvin,Mack,Shelvin Mack,PG,73,6' 1'',74.5,6' 2.5'',209,79.5,6' 7.5'',96.5,8' 0.5'',7.1,8.25,9.25
2011-12,,12430,Demetri,McCamey,Demetri McCamey,PG,73.75,6' 1.75'',75.25,6' 3.25'',204,78.25,6' 6.25'',99.5,8' 3.5'',6.1,8.5,9
2011-12,,202734,E'Twaun,Moore,E'Twaun Moore,SG,74.5,6' 2.5'',76,6' 4'',191.4,81.5,6' 9.5'',99.5,8' 3.5'',7.6,9,10
2011-12,,202693,Markieff,Morris,Markieff Morris,PF,79.75,6' 7.75'',81.25,6' 9.25'',240.8,82.75,6' 10.75'',106.5,8' 10.5'',10.2,8.5,8.25
2011-12,,202694,Marcus,Morris,Marcus Morris,PF-SF,79,6' 7'',80.75,6' 8.75'',229.6,82,6' 10'',105.5,8' 9.5'',8,8.25,8.5
